Name,IrishTune.info ID,TheSession URL,Type,Tune Archive URL
"Munster Jig, The",801,https://thesession.org/tunes/372,Jig,
Hardiman The Fiddler,803,https://thesession.org/tunes/48,Slip Jig,
Joe Derrane's,804,https://thesession.org/tunes/3321,Jig,
"Rathawaun, The",806,https://thesession.org/tunes/1736,Reel,
"Hare's Paw, The",807,https://thesession.org/tunes/1462,Reel,
Harvest Home,808,https://thesession.org/tunes/49,Hornpipe,
Haste To The Wedding,809,https://thesession.org/tunes/582,Jig,
Have A Drink With Me,811,https://thesession.org/tunes/1922,Jig,
Hayes's,814,https://thesession.org/tunes/3462,Barndance,
A Health To The Ladies,815,https://thesession.org/tunes/327,Jig,
"Heather Breeze, The",818,https://thesession.org/tunes/411,Reel,
Hector The Hero,821,https://thesession.org/tunes/1292,Waltz,
"High Cauled Cap, The",829,https://thesession.org/tunes/1524,Polka,
"High Reel, The",833,https://thesession.org/tunes/44,Reel,
Seamus Cooley's,839,https://thesession.org/tunes/5202,Jig,
Dublin Lads,840,https://thesession.org/tunes/3320,Reel,
Hole In The Hedge,841,https://thesession.org/tunes/755,Jig,
"Holly Bush, The",842,https://thesession.org/tunes/7080,Jig,
"Holy Land, The",843,https://thesession.org/tunes/616,Reel,
"Home Ruler, The",844,https://thesession.org/tunes/310,Hornpipe,
Honeymoon,846,https://thesession.org/tunes/2064,Reel,
House Of Hamill,847,https://thesession.org/tunes/2677,Reel,
Humours Of Ballyconnell Hornpipe,851,https://thesession.org/tunes/2748,Hornpipe,
"Humours Of Ballyconnell, The",852,https://thesession.org/tunes/1428,Reel,
"Humours Of Ballyloughlin, The",853,https://thesession.org/tunes/210,Jig,https://tunearch.org/wiki/Humors_of_Ballyloughlin
"Humours Of Derrycrossane, The",855,https://thesession.org/tunes/1550,Jig,
"Humours Of Drinagh, The",856,https://thesession.org/tunes/413,Jig,
Humours Of Ennistymon,858,https://thesession.org/tunes/228,Jig,
"Humours Of Glendart, The",860,https://thesession.org/tunes/45,Jig,
Highway To Kilkenny,863,https://thesession.org/tunes/3599,Slip Jig,
"Humours Of Scarriff, The",868,https://thesession.org/tunes/1748,Reel,
"Humours Of Tulla, The",869,https://thesession.org/tunes/141,Reel,
"Humours Of Westport, The",870,https://thesession.org/tunes/47,Reel,
"Humours Of Whiskey, The",871,https://thesession.org/tunes/46,Slip Jig,
Hundred Pipers,873,https://thesession.org/tunes/1232,Jig,
Hunter's House,874,https://thesession.org/tunes/472,Reel,https://tunearch.org/wiki/Hunter%27s_House_(The)
"Hunter's Purse, The",875,https://thesession.org/tunes/283,Reel,https://tunearch.org/wiki/Hunter%27s_Purse_(The)
"Hut On Staffin Island, The",876,https://thesession.org/tunes/2067,Hornpipe,
When The Cock Crows It Is Day,882,https://thesession.org/tunes/2483,Jig,
I Wish I Never Saw You,883,https://thesession.org/tunes/2666,Reel,
I’d Rather Be Married Than Left,885,https://thesession.org/tunes/2114,Slide,
If We Hadn't Any Men In The World,886,https://thesession.org/tunes/2998,Barndance,
If We Hadn't Any Women In The World,887,https://thesession.org/tunes/1376,Barndance,
Imelda Roland's,890,https://thesession.org/tunes/2735,Reel,
Inisheer,893,https://thesession.org/tunes/211,Waltz,
Charlie Lennon's Mazurka,896,https://thesession.org/tunes/1276,Mazurka,
"Irish Washerwoman, The",897,https://thesession.org/tunes/92,Jig,
Jack Coughlin's Fancy,904,https://thesession.org/tunes/853,Reel,
Jackie Coleman's #1,905,https://thesession.org/tunes/50,Reel,
Pay The Reckoning,908,https://thesession.org/tunes/1805,Jig,
Jackson's (Reel),915,https://thesession.org/tunes/1311,Reel,
"Chaffpool Post, The",917,https://thesession.org/tunes/246,Barndance,
Jenny Dang The Weaver,922,https://thesession.org/tunes/380,Reel,
Jenny Picking Cockles,924,https://thesession.org/tunes/1357,Reel,
Tommy Peoples (D),925,https://thesession.org/tunes/192,Reel,
Jenny's Chickens,926,https://thesession.org/tunes/756,Reel,
Jenny's Wedding,927,https://thesession.org/tunes/1347,Reel,
Jenny's Welcome To Charlie,929,https://thesession.org/tunes/370,Reel,
Jerry's Beaver Hat,930,https://thesession.org/tunes/319,Jig,
Jessica's Polka,932,https://thesession.org/tunes/1532,Polka,
"Jig Of Slurs, The",936,https://thesession.org/tunes/35,Jig,
Jimmy Duffy's,948,https://thesession.org/tunes/1920,Barndance,NA
Jimmy Ward's Favorite,955,https://thesession.org/tunes/793,Jig,
Finbarr Dwyer's Favorite,960,https://thesession.org/tunes/1159,Jig,
Cooley's Delight,961,https://thesession.org/tunes/414,Jig,
Tommy Peoples Mazurka,973,https://thesession.org/tunes/1323,Mazurka,
Anything For John-Joe,976,https://thesession.org/tunes/3237,Reel,
John Ryan's,983,https://thesession.org/tunes/441,Polka,
John Stenson's #1,984,https://thesession.org/tunes/1155,Reel,
John Stenson's #2,985,https://thesession.org/tunes/1163,Reel,
Johnny Allen's,986,https://thesession.org/tunes/278,Reel,https://tunearch.org/wiki/Johnny_Allen%27s
Johnny I Do Love Thee,991,https://thesession.org/tunes/2781,Polka,
Cuil Aodha (Polka),993,https://thesession.org/tunes/1535,Polka,
"Jolly Tinker, The",1003,https://thesession.org/tunes/1754,Reel,
Donnybrook Fair,1004,https://thesession.org/tunes/26,Jig,
Old Man Dillon's,1005,https://thesession.org/tunes/2200,Jig,
"Jug Of Punch, The",1007,https://thesession.org/tunes/594,Reel,
Julia Delaney's,1010,https://thesession.org/tunes/589,Reel,
Jim O'Keefe's Slide,1014,https://thesession.org/tunes/998,Slide,
